% Model:              PCF_sweep.mph
% Version:            COMSOL 6.3.0.420
% Date:               Oct 15 2025, 02:46
% Table:              Table 1 - 
% freq                                            neff                                              mode_overlap                                      overlap
1.993619845700000E14                              1.421443475258444E0-6.178403405647245E-4i         0.000000000000000E0                               3.388276906998319E-4+6.127128687272690E-4i
1.993619845700000E14                              1.421442902365546E0-6.646492609517899E-4i         0.000000000000000E0                               3.405754621081794E-4-3.011065093100596E-4i
1.993619845700000E14                              1.424876412969228E0-9.247531692579032E-5i         1.000000000000000E0                               7.149639335956541E-1+7.024355894135906E-2i
2.016104280050000E14                              1.419223836187315E0-1.136531087090739E-3i         0.000000000000000E0                               1.061711223721632E-2-3.762341182009799E-2i
2.016104280050000E14                              1.420215218642675E0-1.010270502154975E-3i         0.000000000000000E0                               -8.477704808287611E-3-3.776604582214695E-1i
2.016104280050000E14                              1.421856734150392E0-6.461056115201199E-4i         0.000000000000000E0                               -6.450005362864666E-5-2.429450721369114E-4i
2.016104280050000E14                              1.421860533017878E0-5.967207757584936E-4i         0.000000000000000E0                               -9.440204252266992E-5-5.274513668657797E-4i
2.016104280050000E14                              1.425253525125343E0-8.653353762565533E-5i         1.000000000000000E0                               7.217498322556791E-1+6.904171261942788E-2i
2.038588714400000E14                              1.419683249810865E0-1.096245511196321E-3i         0.000000000000000E0                               1.329973146476974E-2-3.490046473147381E-2i
2.038588714400000E14                              1.420692581153346E0-9.734592268925364E-4i         0.000000000000000E0                               -1.991104653727361E-2-3.760557538059105E-1i
2.038588714400000E14                              1.422256621995597E0-6.247539056819681E-4i         0.000000000000000E0                               -1.404667577333451E-6-5.050364418975872E-6i
2.038588714400000E14                              1.422265079924622E0-5.763824690993423E-4i         0.000000000000000E0                               2.999433632993469E-4+2.724305287395356E-4i
2.038588714400000E14                              1.425624869232162E0-8.056406696214209E-5i         1.000000000000000E0                               7.283942862744822E-1+7.020060562149408E-2i
2.061073148750000E14                              1.420148806226348E0-1.076403726160081E-3i         0.000000000000000E0                               8.014489983026623E-3-3.695552830250451E-2i
2.061073148750000E14                              1.421166178357437E0-9.528102575458312E-4i         0.000000000000000E0                               5.248549455455078E-4-3.735071783621736E-1i
